"Flash Hiders / フラッシュハイダース","flash-hiders","JP","SCD",1993,"Right Stuff / ライトスタッフ"
"Fray CD - Xak Gaiden / フレイ CD ～Xak外伝～","fray-cd-xak-gaiden","JP","SCD",1994,"Micro Cabin / マイクロキャビン"
"Fushigi No Umi No Nadia - The Secret Of Blue Water / ふしぎの海のナディア","fushigi-no-umi-no-nadia-the-secret-of-blue-water","JP","SCD",1993,"Hudson / ハドソン"
"Future Boy Conan / 未来少年コナン","future-boy-conan","JP","SCD",1992,"RIOT, Telenet Japan / ライオット, 日本テレネット"
"Galaxy Fraulein Yuna HuVideo / 銀河お嬢様伝説ユナ HuVIDEO同梱再販版","galaxy-fraulein-yuna-huvideo","JP","SCD",1995,"Hudson/Red, will / ハドソン/レッド, ウィル"
"Galaxy Gayvan / GALAXYギャラクシーデカ 刑事 GAYVAN","galaxy-gayvan","JP","SCD",1993,"Intec / インテック"
"Go! Go! Birdie Chance / Go！Go！バーディーチャンス","go!-go!-birdie-chance","JP","SCD",1996,"NEC Home Electronics/HuneX / NECホームエレクトロニクス/ヒューネックス"
"God Panic / ゴッドパニック 至上最強軍団","god-panic","JP","SCD",1992,"Teichiku / テイチク"
"Gotzendiener / ゲッツェンディーナー","gotzendiener","JP","SCD",1994,"NEC Home Electronics, Gainax / NECホームエレクトロニクス, ガイナックス"
"Gradius II - Gofer No Yabou / グラディウスII ゴーファーの野望","gradius-ii-gofer-no-yabou","JP","SCD",1992,"Konami / コナミ"
"Gulliver Boy / 空想科学世界ガリバーボーイ","gulliver-boy","JP","SCD",1995,"Hudson / ハドソン"
"Hatsukoi Monogatari / 初恋物語","hatsukoi-monogatari","JP","SCD",1994,"Tokuma Intermedia / 徳間インターメディア"
"Hi-Leg Fantasy","hi-leg-fantasy","JP","SCD",,
"Horror Story / ホラーストーリー","horror-story","JP","SCD",1993,"NEC Avenue/Toaplan / NECアベニュー/東亜プラン"
"Hyper Wars / ハイパーウォーズ","hyper-wars","JP","SCD",1994,"Hudson/will / ハドソン/ウィル"
"Iga Ninden Gaou / 伊賀忍伝 凱王","iga-ninden-gaou","JP","SCD",1993,"Nihon Bussan (Nichibutsu)/Cream / 日本物産（ニチブツ）"
"Image Fight II / イメージファイトII","image-fight-ii","JP","SCD",1992,"Irem / アイレム"
"Inoue Mami - Kono Hoshi Ni Tatta Hitori No Kimi / 井上麻美 この星にたったひとりのキミ","inoue-mami-kono-hoshi-ni-tatta-hitori-no-kimi","JP","SCD",1992,"Hudson / ハドソン"
"J-League Tremendous Soccer '94 / Jリーグ トリメンダスサッカー'94","j-league-tremendous-soccer-'94","JP","SCD",1994,"NEC Home Electronics/HuneX / NECホームエレクトロニクス/ヒューネックス"
"Kabuki den demo ??? / Kabuki den demo ???","kabuki-den-demo-???","JP","SCD",,"Hudson"
"Kakutou Haou Densetsu Algunos / 格闘覇王伝説アルガノス","kakutou-haou-densetsu-algunos","JP","SCD",1994,"Intec / インテック"
"Kaze Kiri / 風霧","kaze-kiri","JP","SCD",1994,"naxat / ナグザット"
"Kaze No Densetsu Xanadu / 風の伝説ザナドゥ","kaze-no-densetsu-xanadu","JP","SCD",1994,"NEC Home Electronics/Falcom / NECホームエレクトロニクス/日本ファルコム"
"Kaze No Densetsu Xanadu II / 風の伝説ザナドゥII","kaze-no-densetsu-xanadu-ii","JP","SCD",1995,"Falcom / 日本ファルコム"
"Laplace no Ma / ラプラスの魔","laplace-no-ma","JP","SCD",1993,"Human/Humming Bird Soft / ヒューマン/ハミングバードソフト"
"Lemmings / レミングス","lemmings","JP","SCD",1992,"Sunsoft (Sun Electronics)/Psygnosis / サンソフト（サン電子）"
"Linda 3 / リンダキューブ","linda-3","JP","SCD",1995,"NEC Home Electronics/Alfa System / NECホームエレクトロニクス/アルファ・システム"
"Magicoal / マジクール","magicoal","JP","SCD",1993,"NEC Home Electronics/HuneX / NECホームエレクトロニクス/ヒューネックス"
"Mahjong Lemon Angel / マージャン（麻雀）レモンエンジェル","mahjong-lemon-angel","JP","SCD",1994,"naxat/Home Data/Fairy Dust / ナグザット/ホームデータ/フェアリーダスト"
"Mahjong Sword Princess Quest Gaiden / MAHJONG SWORD プリンセスクエスト外伝","mahjong-sword-princess-quest-gaiden","JP","SCD",1995,"naxat / ナグザット"
"Martial Champion / マーシャル・チャンピオン","martial-champion","JP","SCD",1993,"Konami / コナミ"
"Megami Paradise / 女神天国","megami-paradise","JP","SCD",1994,"NEC Home Electronics / NECホームエレクトロニクス"
"Metamor Jupiter / メタモ ジュピター","metamor-jupiter","JP","SCD",1993,"NEC Home Electronics/Flight Plan / NECホームエレクトロニクス/フライトプラン"
"Monster Maker / モンスターメーカー 闇の竜騎士","monster-maker","JP","SCD",1994,"NEC Avenue / NECアベニュー"
"Moon Light Lady / ムーンライトレディ","moon-light-lady","JP","SCD",1993,"NEC Home Electronics / NECホームエレクトロニクス"
"Motteke Tamago / もってけたまご","motteke-tamago","JP","SCD",1997,"Tokuma Intermedia, naxat / 徳間インターメディア, ナグザット"
"Mystic Formula / ミスティックフォーミュラ","mystic-formula","JP","SCD",1993,"Micro Cabin / マイクロキャビン"
"Nexzr / ネクスザール","nexzr","JP","SCD",1992,"naxat / ナグザット"
"Pachio-kun 3 - Pachislot & Pachinko / パチ夫くん3 パチスロ＆パチンコ","pachio-kun-3-pachislot-&-pachinko","JP","SCD",1994,"Coconuts Japan, GX Media / ココナッツジャパン, GXメディア"
